store_id,store_name,address,city,state,zip_code,phone_number,lat,long,status,radius_km
5603127,Acme Markets,1 University Plaza,Newark,DE,19702,(302) 738-9509,39.66692205,-75.67192879,red,30.0
5603048,Acme Markets,100 E Black Horse Pike,Audubon,NJ,08106,(856) 547-3938,39.89292466,-75.08937763,blue,30.0
5603019,Acme Markets,100 Grove Lane,Newark,DE,19711,(302) 286-0425,39.682622,-75.735397,blue,30.0
5603000,Acme Markets,100 Route 22,Goldens Bridge,NY,10526,(914) 232-7610,41.29327664,-73.67595389,red,30.0
5603111,Acme Markets,100 Suburban Dr,Newark,DE,19711,(302) 453-2330,39.66800768,-75.77571452,blue,30.0
5602995,Acme Markets,100 Triangle Center,Yorktown Heights,NY,10598,(914) 455-3810,41.27741705,-73.77930678,blue,30.0
5603016,Acme Markets,1001 South St,Philadelphia,PA,19147,(215) 238-1108,39.94295064,-75.15885355,blue,30.0
5603039,Acme Markets,101 Big Elk Mall,Elkton,MD,21921,(410) 398-4925,39.60166896,-75.82616569,blue,30.0
5603062,Acme Markets,101 Byers Dr,Glen Mills,PA,19342,(610) 459-2759,39.8842122,-75.52789483,red,30.0
5603010,Acme Markets,103 Knollwood Rd,White Plains,NY,10607,(914) 682-1711,41.03872014,-73.80671578,red,30.0
5603063,Acme Markets,105 E Street Rd,Feasterville Trevose,PA,19053,(215) 942-4891,40.14716262,-74.99962807,red,30.0
5602982,Acme Markets,1060 Raritan Rd,Clark,NJ,07066,(732) 340-0056,40.62839726,-74.31601966,red,30.0
5603040,Acme Markets,1095 W Baltimore Pike,Media,PA,19063,(610) 891-0407,39.9176735,-75.42957125,blue,30.0
5603131,Acme Markets,11 Court House South Dennis Rd,Cape May Court House,NJ,08210,(609) 463-9106,39.08924075,-74.82199324,blue,30.0
5603002,Acme Markets,12 Cedar St,Bronxville,NY,10708,(914) 793-1001,40.93900191,-73.8339641,blue,30.0
5603003,Acme Markets,1201 High Ridge Rd,Stamford,CT,06905,(203) 321-0429,41.1098457,-73.54629457,blue,30.0
5603059,Acme Markets,121 E City Ave,Bala Cynwyd,PA,19004,(610) 667-7021,40.00390621,-75.22387214,blue,30.0
5602966,Acme Markets,123 E Main St,Denville,NJ,07834,(973) 586-2215,40.88903284,-74.48022349,blue,30.0
5603132,Acme Markets,124 Morton Ave,Folsom,PA,19033,(610) 237-3800,39.88488162,-75.32819565,blue,30.0
5602967,Acme Markets,125 18th St,Jersey City,NJ,07310,(201) 418-0580,40.73313793,-74.03743839,blue,30.0
5602962,Acme Markets,125 Franklin Turnpike,Mahwah,NJ,07430,(201) 529-9775,41.09906515,-74.14464762,blue,30.0
5603036,Acme Markets,1260 Springfield Ave,New Providence,NJ,07974,(908) 286-1725,40.7048671,-74.40407541,red,30.0
5603008,Acme Markets,1261 E Putnam Ave,Riverside,CT,06878,(203) 637-0188,41.04282478,-73.57720166,blue,30.0
5603121,Acme Markets,128 Lantana Dr,Hockessin,DE,19707,(302) 234-9000,39.77364392,-75.70854262,blue,30.0
5603012,Acme Markets,13 North Ave,Pleasant Valley,NY,12569,(845) 635-4420,41.74497858,-73.82604945,red,30.0
5603105,Acme Markets,1305 W Chester Pike,Havertown,PA,19083,(610) 446-1191,39.97373056,-75.32064289,blue,30.0
5603128,Acme Markets,1308 Centerville Rd,Wilmington,DE,19808,(302) 994-3660,39.73408681,-75.62344283,blue,30.0
5603108,Acme Markets,1336 Bristol Pike Suite 100,Bensalem,PA,19020,(215) 638-8190,40.07295422,-74.96674063,blue,30.0
5602961,Acme Markets,136 Lake St,Midland Park,NJ,07432,(201) 493-7050,40.983116,-74.1403605,blue,30.0
5603030,Acme Markets,1366 E Main St,Shrub Oak,NY,10588,(914) 528-3620,41.32765967,-73.83672265,blue,30.0
5603100,Acme Markets,1400 E Passyunk Ave,Philadelphia,PA,19147,(215) 467-2221,39.93230251,-75.16229734,blue,30.0
5603112,Acme Markets,1401 N Dupont St,Wilmington,DE,19806,(302) 658-0575,39.75720972,-75.5637957,blue,30.0
5603116,Acme Markets,146 Fox Hunt Dr,Bear,DE,19701,(302) 836-9380,39.60657031,-75.71211666,blue,30.0
5603126,Acme Markets,15 Avalon Blvd,Cape May Court House,NJ,08210,(609) 463-1995,39.12739946,-74.77849871,red,30.0
5602999,Acme Markets,1511 Ny Route 22,Brewster,NY,10509,(845) 940-0575,41.41976179,-73.57851896,blue,30.0
5602984,Acme Markets,152 Route 94,Blairstown,NJ,07825,(908) 362-1790,40.9837044,-74.99698861,red,30.0
5603006,Acme Markets,160 W Putnam Ave,Greenwich,CT,06830,(203) 622-2944,41.02663949,-73.63093117,blue,30.0
5603134,Acme Markets,1619 Center Square Rd,Swedesboro,NJ,08085,(856) 467-8936,39.75575458,-75.35389395,blue,30.0
5603090,Acme Markets,1640 Bethlehem Pike,Flourtown,PA,19031,(215) 836-2560,40.10700571,-75.21156784,blue,30.0
5603097,Acme Markets,175 Route 70,Medford,NJ,08055,(609) 953-0006,39.9036157,-74.83501704,red,30.0
5603017,Acme Markets,177 Washington Valley Rd,Warren,NJ,07059,(732) 764-3800,40.61486435,-74.4975804,blue,30.0
5602988,Acme Markets,18 Broadway St,Browns Mills,NJ,08015,(609) 735-1605,39.975772,-74.581338,blue,30.0
5603041,Acme Markets,180 W Girard Ave,Philadelphia,PA,19123,(215) 574-2922,39.96893483,-75.13894016,red,30.0
5603031,Acme Markets,1812 Marsh Rd,Wilmington,DE,19810,(302) 529-8520,39.80449773,-75.50512319,blue,30.0
5603061,Acme Markets,1825 Limekiln Pike,Dresher,PA,19025,(215) 643-3992,40.1306026,-75.16580684,blue,30.0
5603018,Acme Markets,18578 Coastal Hwy Unit 13,Rehoboth Beach,DE,19971,(302) 644-1255,38.73642415,-75.14347555,red,30.0
5603007,Acme Markets,1886 Pleasantville Rd,Briarcliff Manor,NY,10510,(914) 945-7225,41.16393406,-73.847224,blue,30.0
5603129,Acme Markets,1901 Concord Pike,Wilmington,DE,19803,(302) 654-1803,39.78780101,-75.54522693,blue,30.0
5603089,Acme Markets,1901 Johnston St,Philadelphia,PA,19145,(215) 336-4441,39.9169684,-75.1803362,blue,30.0
5602986,Acme Markets,19-21 Ave At Port Imperial,West New York,NJ,07093,(201) 553-1030,40.78213042,-74.00699611,blue,30.0
5603071,Acme Markets,1991 N Sproul Rd,Broomall,PA,19008,(610) 325-2880,39.9817885,-75.3611,blue,30.0
5603045,Acme Markets,20 S Delsea Dr,Clayton,NJ,08312,(856) 881-9884,39.65430158,-75.09183772,red,30.0
5603025,Acme Markets,200 Blair Mill Rd,Horsham,PA,19044,(215) 956-1600,40.18402429,-75.11822831,blue,30.0
5603109,Acme Markets,2007 Route 35,Wall Township,NJ,07719,(732) 282-1630,40.15260801,-74.05716889,red,30.0
5603074,Acme Markets,2087 Shore Rd,Ocean View,NJ,08230,(609) 624-9004,39.20774828,-74.70144488,red,30.0
5603115,Acme Markets,2098 Naamans Rd,Wilmington,DE,19810,(302) 475-4618,39.8237175,-75.50048584,blue,30.0
5603075,Acme Markets,210 W Marlboro Ave,Easton,MD,21601,(410) 822-7073,38.77970584,-76.08284807,blue,30.0
5603056,Acme Markets,2101-41 Cottman Ave,Philadelphia,PA,19149,(215) 728-1010,40.05053847,-75.0616622,blue,30.0
5603122,Acme Markets,212 New Rd,Somers Point,NJ,08244,(609) 653-6853,39.32777014,-74.59551514,blue,30.0
5602964,Acme Markets,2160 Lemoine Ave,Fort Lee,NJ,07024,(201) 944-1145,40.85618937,-73.96509737,blue,30.0
5603093,Acme Markets,23 Levitt Pkwy,Willingboro,NJ,08046,(609) 871-0670,40.05159674,-74.89116691,blue,30.0
5603011,Acme Markets,23 Quaker Ridge Rd,New Rochelle,NY,10804,(914) 636-2133,40.94717494,-73.79404737,blue,30.0
5603060,Acme Markets,2301 Bristol Rd,Bensalem,PA,19020,(215) 757-9995,40.13174807,-74.92259888,blue,30.0
5603033,Acme Markets,236 E Glenwood Ave,Smyrna,DE,19977,(302) 653-9600,39.30611579,-75.61057845,red,30.0
5603034,Acme Markets,2400 Delaware Ave,North Wildwood,NJ,08260,(609) 846-9010,38.99808989,-74.81305612,blue,30.0
1017917081,Acme Markets,25 E Germantown Pike,East Norriton,PA,19401,(610) 313-5500,40.140585,-75.308926,blue,30.0
5603057,Acme Markets,251 N Broadway,Pennsville,NJ,08070,(856) 678-4213,39.66896554,-75.5080086,blue,30.0
5603083,Acme Markets,260 Dunns Mills Rd,Bordentown,NJ,08505,(609) 298-2014,40.13353345,-74.72585717,blue,30.0
5603005,Acme Markets,261 S Ridge St,Rye Brook,NY,10573,(914) 937-2233,41.0004306,-73.6787366,blue,30.0
5603004,Acme Markets,272 Us Route 6,Mahopac,NY,10541,(845) 621-5110,41.34737802,-73.75394516,blue,30.0
5603091,Acme Markets,2761 W Ridge Pike,Norristown,PA,19403,(610) 630-0890,40.14714685,-75.39342044,blue,30.0
5603013,Acme Markets,288 Elm St,New Canaan,CT,06840,(203) 966-0017,41.14485888,-73.50027859,blue,30.0
8262191,Acme Markets,29 Snyder Ave,Philadelphia,PA,19148,(215) 271-5603,39.92316399,-75.14506532,blue,30.0
5603084,Acme Markets,300 S Lenola Rd,Maple Shade,NJ,08052,(856) 778-2028,39.94741743,-74.97100892,blue,30.0
5603123,Acme Markets,301 S Main Rd,Vineland,NJ,08360,(856) 507-1101,39.479669,-74.998642,blue,30.0
5602998,Acme Markets,3071 E Main St,Mohegan Lake,NY,10547,(914) 526-6688,41.30857827,-73.87150061,blue,30.0
5603014,Acme Markets,309 S 5th St,Philadelphia,PA,19106,(215) 413-9725,39.9443077,-75.14998172,blue,30.0
5602963,Acme Markets,3101 Route 22,Patterson,NY,12563,(845) 878-2044,41.51696513,-73.59283123,blue,30.0
5637759,Acme Markets,315 Ocean St,Cape May,NJ,08204,(609) 884-7217,38.93497156,-74.92142793,blue,30.0
5603064,Acme Markets,3200-09 Red Lion Rd,Philadelphia,PA,19114,(215) 637-4620,40.07939633,-74.99300838,blue,30.0
5602968,Acme Markets,321 Route 440,Jersey City,NJ,07305,(201) 946-2525,40.71053374,-74.1018228,blue,30.0
5603104,Acme Markets,323 Old York Rd,Jenkintown,PA,19046,(215) 886-2911,40.09174608,-75.1250718,blue,30.0
5603082,Acme Markets,3241 Us Hwy 9,Freehold,NJ,07728,(732) 863-6501,40.21939595,-74.26367467,blue,30.0
5603073,Acme Markets,3428 Simpson Ave,Ocean City,NJ,08226,(609) 525-2160,39.25206882,-74.61472873,blue,30.0
5603029,Acme Markets,3500 Route 9,Old Bridge,NJ,08857,(732) 607-9275,40.38274875,-74.30937801,blue,30.0
5603068,Acme Markets,3590 W Chester Pike,Newtown Square,PA,19073,(610) 353-8018,39.98552326,-75.39808463,blue,30.0
5603037,Acme Markets,3845 Bayshore Rd,North Cape May,NJ,08204,(609) 884-1203,38.97464827,-74.9401526,blue,30.0
5602990,Acme Markets,39 Leopard Rd,Paoli,PA,19301,(610) 240-0101,40.03957687,-75.47709296,blue,30.0
5603066,Acme Markets,3951 Lincoln Hwy,Downingtown,PA,19335,(610) 873-8315,39.99791712,-75.74063977,blue,30.0
